Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,ABS,Airbags,CD/MP3/Bluetooth,Caméra De Recul,Climatisation,ESP,Jantes Aluminium,Limiteur De Vitesse,Ordinateur De Bord,Radar De Recul,Régulateur De Vitesse,Sièges Cuir,Système De Navigation/GPS,Toit Ouvrant,Verrouillage Centralisé À Distance,Vitres Électriques
Toyota C-HR Hybride Automatique 2021 à Casablanca,KIA OCCASION,240000.0,Casablanca,Hybride,Automatique,10,13,"Voitures d'occasion, à vendre",Sidi Bernoussi,WW au Maroc,Très bon,Toyota,C-HR,2021-01-01,5,0,27499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Land Rover Range Rover Vogue Diesel Automatique,KECH AUTO,700000.0,Marrakech,Diesel,Automatique,12,5,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Land Rover,range_rover_vogue,2018-01-01,5,0,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renault Clio 5 Diesel Manuelle 2021 à Fès,jad auto,156000.0,Fès,Diesel,Manuelle,6,12,"Voitures d'occasion, à vendre",Route Ain Chkaf,WW au Maroc,Excellent,Renault,Clio,2021-01-01,5,1,62499.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Renault Clio Diesel Manuelle 2021 à Casablanca,ALD Automotive,155000.0,Casablanca,Diesel,Manuelle,6,12,"Voitures d'occasion, à vendre",Lissasfa,WW au Maroc,Excellent,Renault,Clio,2021-01-01,5,1,72499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - BMW X3,KIFAL AUTO,372000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,X3,2019-01-01,5,1,77499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - CITROEN Berlingo,KIFAL AUTO,200000.0,Rabat,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Citroen,Berlingo,2022-01-01,5,1,52499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Golf 6 Diesel Manuelle 2009,Mustapha,105000.0,Casablanca,Diesel,Manuelle,8,7,"Voitures d'occasion, à vendre",Oulfa,Dédouanée,Très bon,Volkswagen,GOLF 6,2009-01-01,5,0,374999.5,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
Citroen C3 Diesel,KHALID AUTO,89000.0,Tanger,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",Zemmouri,WW au Maroc,Excellent,Citroen,C3,2016-01-01,5,0,154999.5,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1
KIFAL - MERCEDES-BENZ Classe E,KIFAL AUTO,534000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe E,2019-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seat Ibiza Essence Manuelle 2022 à Rabat,Auto Maamoura,130000.0,Rabat,Essence,Manuelle,6,9,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Neuf,Seat,Ibiza,2022-01-01,5,1,17499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha romeo guilietta,auto chibani,165000.0,Casablanca,Diesel,Automatique,6,9,"Voitures d'occasion, à vendre",Ben M'sick,WW au Maroc,Excellent,Alfa Romeo,Giulietta,2020-01-01,5,0,154999.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Opel Corsa Essence Manuelle 1994 à Agadir,AYOUB AUTO,26000.0,Agadir,Essence,Manuelle,7,8,"Voitures d'occasion, à vendre",Hay Mohammadi,WW au Maroc,Excellent,Opel,Corsa,1994-01-01,5,0,174999.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
KIFAL - AUDI Q5,KIFAL AUTO,462000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Audi,Q5,2021-01-01,5,1,47499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - AUDI A6,KIFAL AUTO,370000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Audi,A6,2020-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - AUDI Q8,KIFAL AUTO,812000.0,Casablanca,Diesel,Manuelle,12,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Audi,Q8,2020-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes Benz GLC premier main,fahd auto,315000.0,Tétouan,Diesel,Automatique,8,14,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe GLC,2017-01-01,5,1,144999.5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
KIFAL - VOLKSWAGEN Touareg,KIFAL AUTO,180000.0,Casablanca,Diesel,Manuelle,12,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Volkswagen,Touareg,2011-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - PORSCHE Cayenne,KIFAL AUTO,1030000.0,Casablanca,Hybride,Manuelle,17,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Porsche,Cayenne,2020-01-01,5,1,97499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Megane 2,Ali,75000.0,Kénitra,Diesel,Manuelle,6,2,"Voitures d'occasion, à vendre",La Ville Haute,WW au Maroc,Très bon,Renault,Megane,2007-01-01,5,1,82499.5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1
KIFAL - MERCEDES-BENZ Classe E,KIFAL AUTO,522000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe E,2019-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssangyong actyon,rachid sanabil,53000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Aïn Borja,WW au Maroc,Bon,Ssangyong,Actyon,2009-01-01,5,0,224999.5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1
Citroen C5 Diesel Automatique 2012 à Oujda,AS48,85000.0,Oujda,Diesel,Automatique,8,10,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Citroen,C5,2012-01-01,5,1,274999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Range Rover SVR Fuul Carbon,Brookline auto,980000.0,Casablanca,Essence,Automatique,27,15,"Voitures d'occasion, à vendre",2 Mars,Importée neuve,Excellent,Land Rover,Range Rover,2021-01-01,5,1,42499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volvo XC90 Diesel Automatique 2017 à Casablanca,Central Motors cars,395000.0,Casablanca,Diesel,Automatique,9,10,"Voitures d'occasion, à vendre",Bourgogne,WW au Maroc,Excellent,Volvo,XC90,2017-01-01,5,1,52499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Audi A3 2021 importer neuf,Sofyan,450000.0,Tanger,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Malabata,Importée neuve,Excellent,Audi,A3,2021-01-01,5,1,62499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - MERCEDES-BENZ Classe C,KIFAL AUTO,490000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2019-01-01,5,1,72499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peugeot 2008,mohamed said,255000.0,Tanger,Diesel,Automatique,6,8,"Voitures d'occasion, à vendre",Achakar,WW au Maroc,Très bon,Peugeot,2008,2020-01-01,5,0,52499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renault Clio Diesel Manuelle 2020 à Casablanca,ALD Automotive,140000.0,Casablanca,Diesel,Manuelle,6,13,"Voitures d'occasion, à vendre",Lissasfa,WW au Maroc,Excellent,Renault,Clio,2020-01-01,5,1,97499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Touran Diesel Automatique 2016 à Tanger,Auto ben abou,224000.0,Tanger,Diesel,Automatique,8,19,"Voitures d'occasion, à vendre",Al Mandar Al Jamil,Dédouanée,Excellent,Volkswagen,Touran,2016-01-01,5,0,224999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ford Kuga Diesel Manuelle 2018 à Casablanca,said,199999.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Hay Mohammadi,WW au Maroc,Excellent,Ford,Kuga,2018-01-01,3,1,62499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Citroen C5 6ch 1.6 HDI Economique,REGRAGUI AUTO,95000.0,El Jadida,Diesel,Manuelle,6,13,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Citroen,C5,2014-01-01,5,0,144999.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Hyundai Elantra Hybride Automatique 2023,Central Motors cars,245000.0,Casablanca,Hybride,Automatique,6,6,"Voitures d'occasion, à vendre",Bourgogne,WW au Maroc,Excellent,Hyundai,Elantra,2023-01-01,5,1,12499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ford C-Max Diesel Manuelle 2019 à Casablanca,ALD Automotive,165000.0,Casablanca,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Lissasfa,WW au Maroc,Excellent,Ford,C-Max,2019-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Picanto Essence 2008 à Casablanca,Safouane,54000.0,Casablanca,Essence,Manuelle,6,6,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Bon,Kia,Picanto,2008-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audi A3 Diesel Automatique 2019 à Casablanca,Frères Benkhadda,223000.0,Casablanca,Diesel,Automatique,8,14,"Voitures d'occasion, à vendre",Aïn Borja,WW au Maroc,Excellent,Audi,A3,2019-01-01,3,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
KIFAL - BMW X5,KIFAL AUTO,298000.0,Casablanca,Diesel,Manuelle,12,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,X5,2017-01-01,5,1,164999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peugeot 3008,said,195000.0,Casablanca,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Peugeot,3008,2018-01-01,5,1,144999.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
corolla hybride 1.8 prestige,mohammed,193000.0,Oujda,Hybride,Automatique,10,8,"Voitures d'occasion, à vendre",Park,WW au Maroc,Excellent,Toyota,Corolla,2021-01-01,5,0,52499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Dacia Sandero Stepway Diesel Manuelle 2018,REGRAGUI AUTO,108000.0,El Jadida,Diesel,Manuelle,6,16,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Très bon,Dacia,sandero_stepway,2018-01-01,5,0,104999.5,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1
Dacia Duster Diesel Automatique 2020 à Fès,Mr Bennis,175000.0,Fès,Diesel,Automatique,6,5,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Dacia,Duster,2020-01-01,5,1,62499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - MERCEDES-BENZ Classe C,KIFAL AUTO,425000.0,Rabat,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2019-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW 640d 313ch,Hamza,280000.0,Casablanca,Diesel,Automatique,12,4,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,BMW,Serie 6,2013-01-01,5,1,224999.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Volkswagen touareg R line 2022,Ayoub,685000.0,Casablanca,Diesel,Automatique,12,7,"Voitures d'occasion, à vendre",Aïn Diab,WW au Maroc,Très bon,Volkswagen,Touareg,2022-01-01,5,1,62499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Megane Diesel Manuelle 2008 à El Jadida,REGRAGUI AUTO,73000.0,El Jadida,Diesel,Manuelle,6,13,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Renault,Megane,2008-01-01,5,0,174999.5,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1
Hyundai Santa Fe Diesel Automatique 2009 à Kénitra,ADILAUTOkenitra,89500.0,Kénitra,Diesel,Automatique,9,10,"Voitures d'occasion, à vendre",Al Maghrib Al Arabi,WW au Maroc,Excellent,Hyundai,Santa Fe,2009-01-01,5,0,27499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - OPEL Adam,KIFAL AUTO,100000.0,Rabat,Essence,Manuelle,7,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Opel,ADAM,2017-01-01,5,1,52499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz GLC pack AMG Line and plus,Brookline auto,650000.0,Casablanca,Diesel,Automatique,8,16,"Voitures d'occasion, à vendre",2 Mars,Importée neuve,Excellent,Mercedes-Benz,Classe GLC,2021-01-01,5,1,77499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - MERCEDES-BENZ Classe C Coupé,KIFAL AUTO,200000.0,Casablanca,Diesel,Manuelle,9,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,CLASSE C COUPE,2013-01-01,5,1,77499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Caddy Diesel Manuelle 2019 à Casablanca,particulier,168000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Volkswagen,Caddy,2019-01-01,5,1,134999.5,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1
Bmw serie 320d automatique,Monsieur,155000.0,Rabat,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Excellent,BMW,Serie 3,2013-01-01,5,0,164999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe ML Diesel Automatique 2013,Auto Paloma,230000.0,Tétouan,Diesel,Automatique,12,10,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Très bon,Mercedes-Benz,CLASSE ML,2013-01-01,5,0,274999.5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
KIFAL - KIA Sportage,KIFAL AUTO,254000.0,Rabat,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Kia,Sportage,2022-01-01,5,1,37499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peugeot 2008 Diesel Manuelle 2020 à Salé,larbi,165000.0,Salé,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Hay Salam,WW au Maroc,Très bon,Peugeot,2008,2020-01-01,5,1,12499.5,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
Audi e-tron S line Electrique Automatique 2022,KIA OCCASION,834999.0,Casablanca,Diesel,Automatique,22,20,"Voitures d'occasion, à vendre",Sidi Bernoussi,WW au Maroc,Excellent,Audi,etron_s_line,2022-01-01,5,0,22499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Audi Q5 Diesel Automatique 2018 à Fès,soufiane,319000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Route de Sefrou,WW au Maroc,Excellent,Audi,Q5,2018-01-01,5,0,154999.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Skoda Octavia Diesel Automatique 2012 à Casablanca,AUTO charkaoui,109000.0,Casablanca,Diesel,Automatique,8,14,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Très bon,Skoda,Octavia,2012-01-01,5,0,224999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe C Diesel Automatique 2013,Ali lala,225000.0,Casablanca,Diesel,Automatique,7,3,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2013-01-01,5,1,82499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giulietta Sprint 2021 Automatique 1 er main,benona,189000.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Alfa Romeo,Giulietta,2021-01-01,5,1,67499.5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Citroen C-Elysée Diesel Manuelle 2017 à Fès,Auto,90000.0,Fès,Diesel,Manuelle,6,4,"Voitures d'occasion, à vendre",Route de Meknes,WW au Maroc,Excellent,Citroen,C-Elysée,2017-01-01,5,0,144999.5,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1
BMW Série 3 Diesel Automatique 2022 à Kénitra,faissal refae,359999.0,Kénitra,Diesel,Automatique,8,4,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,BMW,Serie 3,2022-01-01,5,1,52499.5,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
Volkswagen Tiguan Diesel Automatique 2019 à Nador,abdelilah,368000.0,Nador,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Al aroui,Dédouanée,Excellent,Volkswagen,Tiguan,2019-01-01,5,0,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyundai Santa fe 2.0 Crdi manuel,Particulier,148000.0,Fès,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Narjis,WW au Maroc,Neuf,Hyundai,Santa Fe,2014-01-01,5,1,164999.5,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
KIFAL - TOYOTA RAV4,KIFAL AUTO,290000.0,Casablanca,Hybride,Manuelle,14,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Toyota,RAV 4,2019-01-01,5,1,72499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai i 20 Diesel Manuelle 2019 à Temara,GLOBAL OCCAZ TEMARA,133000.0,Temara,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Hyundai,i 20,2019-01-01,5,1,97499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - VOLKSWAGEN CC,KIFAL AUTO,215000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Volkswagen,CC,2017-01-01,5,1,82499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ssangyong Korando Diesel Manuelle 2014 à El Jadida,REGRAGUI AUTO,85000.0,El Jadida,Diesel,Manuelle,8,15,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Très bon,Ssangyong,Korando,2014-01-01,5,0,124999.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
BMW 530,abdelilah,147000.0,Nador,Diesel,Automatique,12,10,"Voitures d'occasion, à vendre",Al aroui,WW au Maroc,Excellent,BMW,Serie 5,2010-01-01,5,0,194999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BMW Série 5 Diesel Automatique 2016 à Casablanca,Frères Benkhadda,250000.0,Casablanca,Diesel,Automatique,8,18,"Voitures d'occasion, à vendre",Aïn Borja,WW au Maroc,Excellent,BMW,Serie 5,2016-01-01,5,1,144999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Honda Legend Essence Automatique 2008 à Casablanca,Auto 212,65000.0,Casablanca,Essence,Automatique,20,9,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Honda,Legend,2008-01-01,5,1,274999.5,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
Hyundai i 10 Essence Manuelle 2012 à Casablanca,simo,60000.0,Casablanca,Essence,Manuelle,6,8,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Bon,Hyundai,i 10,2012-01-01,5,0,134999.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Skoda Kodiaq Diesel Automatique 2019 à El Jadida,YATIB AUTO,275000.0,El Jadida,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Biranzarane,WW au Maroc,Excellent,Skoda,Kodiaq,2019-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renault Clio Diesel Manuelle 2018 à Tanger,Mohamed,109000.0,Tanger,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",Marjane,WW au Maroc,Excellent,Renault,Clio,2018-01-01,5,0,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - OPEL Grandland X,KIFAL AUTO,198000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Opel,Grandland X,2019-01-01,5,1,92499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Polo Diesel Manuelle 2004 à Tétouan,REGRAGUI AUTO,52000.0,Tétouan,Diesel,Manuelle,8,16,"Voitures d'occasion, à vendre",Kouilma,WW au Maroc,Très bon,Volkswagen,Polo,2004-01-01,5,0,224999.5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
KIFAL - MERCEDES-BENZ Classe C,KIFAL AUTO,380000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2021-01-01,5,1,82499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Clio 5 Diesel Manuelle 2021 à Fès,mehdi,155000.0,Fès,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Renault,Clio,2021-01-01,5,1,52499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Lexus LX Essence Automatique 2010 à Casablanca,adil tazi,185000.0,Casablanca,Essence,Automatique,17,8,"Voitures d'occasion, à vendre",Bourgogne,WW au Maroc,Très bon,Lexus,lx,2010-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Talisman Intense 2018 Automatique 1 er main,benona,219000.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Renault,Talisman,2018-01-01,5,1,77499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Dacia Dokker Diesel Manuelle 2020 à Casablanca,TOYOTA OCCASION,139000.0,Casablanca,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Dacia,Dokker,2020-01-01,5,1,62499.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
Renault Clio Diesel Manuelle 2017 à El Jadida,REGRAGUI AUTO,105000.0,El Jadida,Diesel,Manuelle,6,14,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Renault,Clio,2017-01-01,5,1,124999.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
KIFAL - BMW X5,KIFAL AUTO,349000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,X5,2018-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Clio Diesel Manuelle 2020 à Temara,GLOBAL OCCAZ TEMARA,134000.0,Temara,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Renault,Clio,2020-01-01,5,1,92499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dacia Sandero Stepway Diesel Manuelle 2020,REGRAGUI AUTO,120000.0,El Jadida,Diesel,Manuelle,6,14,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Dacia,sandero_stepway,2020-01-01,5,1,77499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Mercedes-Benz classe E pack AMG Line plus,Brookline auto,420000.0,Casablanca,Diesel,Automatique,8,15,"Voitures d'occasion, à vendre",2 Mars,Importée neuve,Excellent,Mercedes-Benz,Classe E,2017-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiguan automatique,KHALID AUTO,195000.0,Tanger,Diesel,Automatique,8,9,"Voitures d'occasion, à vendre",Zemmouri,Dédouanée,Excellent,Volkswagen,Tiguan,2017-01-01,5,1,194999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - BMW Série 4 Gran Coupé,KIFAL AUTO,260000.0,Marrakech,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,Serie 4 gran coupé,2016-01-01,5,1,184999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skoda Octavia Diesel Manuelle 2012 à Casablanca,Farid,112000.0,Casablanca,Diesel,Manuelle,8,6,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Skoda,Octavia,2012-01-01,5,1,154999.5,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
Fiat Doblo Panorama,REGRAGUI AUTO,75000.0,El Jadida,Diesel,Manuelle,6,11,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Fiat,doblo_panorama,2011-01-01,5,0,164999.5,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1
Jaguar X-Type Diesel Edition Limite,REGRAGUI AUTO,65000.0,El Jadida,Diesel,Manuelle,8,17,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Jaguar,F-Type,2008-01-01,5,0,224999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Chevrolet Cruze Diesel Automatique 2015,REGRAGUI AUTO,95000.0,El Jadida,Diesel,Automatique,8,15,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Chevrolet,Cruze,2015-01-01,5,0,164999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Land Rover Range Rover Evoque Diesel Automatique,Bouskoura,310000.0,Bouskoura,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Bouskoura centre,WW au Maroc,Bon,Land Rover,Range Rover Evoque,2019-01-01,5,1,164999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIFAL - BMW Série 1,KIFAL AUTO,279000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,Serie 1,2021-01-01,5,1,77499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
