Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,Equipements
Volkswagen Golf 8 Diesel Automatique 2020 à Rabat,auto chaoui,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Hay el Fath,Importée neuve,Neuf,Volkswagen,GOLF 8,2020,5,Oui,65 000 - 69 999,"['Jantes Aluminium', 'Limiteur De Vitesse', 'Climatisation', 'ABS', 'Airbags', 'Sièges Cuir', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Radar De Recul', 'CD/MP3/Bluetooth', 'ESP', 'Ordinateur De Bord', 'Caméra De Recul', 'Toit Ouvrant', 'Régulateur De Vitesse']"
AUDI Q3 SPORTBACK 40 TDI QUATTRO 2024,Luxury Motors Tanger,PRIX NON SPÉCIFIÉ,Tanger,Diesel,Automatique,8 CV,17 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Neuf,Audi,q3_sportback,2024,5,Oui,0 - 4 999,[]
voiture,brahim,110 000 DH,Taourirt,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Toute la ville,Importée neuve,Très bon,Volkswagen,GOLF 6,2011,5,Non,5 000 - 9 999,"['Vitres Électriques', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Airbags', 'Climatisation', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance']"
Audi RSQ8,Mint Luxe Auto,1 180 000 DH,Marrakech,Essence,Automatique,23 CV,14 Images,"Voitures d'occasion, à vendre",Route de Casablanca,Importée neuve,Neuf,Audi,RSQ8,2021,5,Oui,40 000 - 44 999,[]
Volkswagen tiguan,auto en-nouini,330 000 DH,Fquih Ben Saleh,Diesel,Automatique,8 CV,14 Images,"Voitures d'occasion, à vendre",Toute la ville,Dédouanée,Excellent,Volkswagen,Tiguan,2018,,Oui,130 000 - 139 999,[]
BMW Série 3 Diesel Automatique 2016 à Casablanca,Motopcasa,190 000 DH,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Sidi Othmane,WW au Maroc,Excellent,BMW,Serie 3,2016,5,Non,120 000 - 129 999,"['Jantes Aluminium', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Airbags', 'Sièges Cuir', 'Limiteur De Vitesse', 'Toit Ouvrant', 'ABS', 'Vitres Électriques', 'Radar De Recul', 'ESP', 'Régulateur De Vitesse', 'Système De Navigation/GPS']"
Land Rover Range Rover Evoque Diesel Automatique,Faical,320 000 DH,Rabat,Diesel,Automatique,8 CV,7 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Très bon,Land Rover,Range Rover Evoque,2018,,Oui,170 000 - 179 999,[]
Maserati Levante S Q4 430hp turbocharger,Auto Store,PRIX NON SPÉCIFIÉ,Rabat,Essence,Automatique,17 CV,19 Images,"Voitures d'occasion, à vendre",Hassan,WW au Maroc,Excellent,Maserati,Levante,2017,5,Oui,35 000 - 39 999,[]
سيارة ممتازة للبيع,lhassani,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Hassan,,Excellent,Citroen,C-Elysée,2021,,,130 000 - 139 999,[]
Mercedes G63 AMG Keyvany 840CH,Mint Luxe Auto,PRIX NON SPÉCIFIÉ,Marrakech,Essence,Automatique,32 CV,15 Images,"Voitures d'occasion, à vendre",Route de Casablanca,Importée neuve,Neuf,Mercedes-Benz,Classe G,2023,3,Oui,0 - 4 999,[]
TOYOTA C-HR HYBRID DISTINCTIVE 1eMAIN TTOPTIONS,AUTOMOBILES TINGIS,278 000 DH,Tanger,Hybride,Automatique,10 CV,19 Images,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Neuf,Toyota,C-HR,2023,5,Oui,20 000 - 24 999,"['Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Climatisation', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Système De Navigation/GPS', 'ESP', 'Ordinateur De Bord', 'ABS', 'Airbags', 'Caméra De Recul', 'Radar De Recul', 'Régulateur De Vitesse']"
Mercedes-Benz 220 Diesel Automatique 2013 à Nador,Zak,PRIX NON SPÉCIFIÉ,Nador,Diesel,Automatique,9 CV,8 Images,"Voitures d'occasion, à vendre",Centre Ville,Dédouanée,Excellent,Mercedes-Benz,220,2013,,,140 000 - 149 999,"['Ordinateur De Bord', 'Radar De Recul', 'Vitres Électriques', 'Airbags', 'Toit Ouvrant', 'Régulateur De Vitesse', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Climatisation', 'ESP', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Limiteur De Vitesse', 'ABS', 'Jantes Aluminium']"
Nissan Juke Diesel Manuelle 2017 à Marrakech,Marrakech,143 000 DH,Marrakech,Diesel,Manuelle,6 CV,3 Images,"Voitures d'occasion, à vendre",Hay Targa,WW au Maroc,Très bon,Nissan,Juke,2017,5,Oui,90 000 - 94 999,"['Climatisation', 'Système De Navigation/GPS', 'ABS', 'Jantes Aluminium', 'Ordinateur De Bord', 'Vitres Électriques', 'Régulateur De Vitesse', 'Radar De Recul', 'Caméra De Recul', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'ESP', 'Airbags', 'Sièges Cuir']"
Touareg 1er main,abderrahim,82 000 DH,Agadir,Diesel,Automatique,10 CV,7 Images,"Voitures d'occasion, à vendre",Hay Mohammadi,WW au Maroc,Excellent,Volkswagen,Touareg,2008,5,Oui,250 000 - 299 999,"['Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'ESP', 'ABS', 'Climatisation', 'Jantes Aluminium', 'Airbags', 'CD/MP3/Bluetooth', 'Vitres Électriques']"
Dacia Duster Diesel Manuelle 2019 à Casablanca,Frères Benkhadda,158 000 DH,Casablanca,Diesel,Manuelle,6 CV,20 Images,"Voitures d'occasion, à vendre",Aïn Borja,WW au Maroc,Excellent,Dacia,Duster,2019,5,Oui,95 000 - 99 999,"['Ordinateur De Bord', 'Radar De Recul', 'ABS', 'Caméra De Recul', 'Système De Navigation/GPS', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Airbags', 'Climatisation', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'ESP']"
Nissan Qashqai Diesel Automatique 2019,Auto Aymane,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,6 CV,11 Images,"Voitures d'occasion, à vendre",Almaz,WW au Maroc,Excellent,Nissan,Qashqai,2019,5,Oui,85 000 - 89 999,"['Ordinateur De Bord', 'Limiteur De Vitesse', 'Airbags', 'Radar De Recul', 'Climatisation', 'CD/MP3/Bluetooth', 'Système De Navigation/GPS', 'Caméra De Recul', 'Vitres Électriques', 'ESP', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'ABS', 'Régulateur De Vitesse']"
clio campous essence,salam,29 000 DH,Souaken,Essence,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Renault,Clio,2012,5,Oui,180 000 - 189 999,"['ESP', 'Caméra De Recul', 'Jantes Aluminium', 'Radar De Recul', 'Verrouillage Centralisé À Distance', 'Climatisation', 'ABS', 'Limiteur De Vitesse', 'Airbags', 'CD/MP3/Bluetooth', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Vitres Électriques', 'Système De Navigation/GPS', 'Toit Ouvrant', 'Sièges Cuir']"
Volkswagen Passat cc,Mohamed Amine,114 000 DH,El Jadida,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Al Boustane,Dédouanée,Excellent,Volkswagen,PASSAT CC,2009,5,Non,200 000 - 249 999,[]
Audi Q5 2litre Essence automatique,Particulier,65 000 DH,Oualidia,Essence,Automatique,11 CV,5 Images,"Voitures d'occasion, à vendre",Toute la ville,,,Audi,Q5,2012,,,180 000 - 189 999,[]
AUDI A4 À VENDRE,BOUSELHAM,11 111 DH,Ben Guerir,Diesel,Manuelle,8 CV,3 Images,"Voitures d'occasion, à vendre",Toute la ville,Dédouanée,Excellent,Audi,A4,2010,5,Non,200 000 - 249 999,"['Radar De Recul', 'Airbags', 'Verrouillage Centralisé À Distance', 'ESP', 'Jantes Aluminium', 'Régulateur De Vitesse', 'ABS', 'Limiteur De Vitesse', 'Sièges Cuir', 'Climatisation', 'CD/MP3/Bluetooth']"
Peugeot 508 Allure Automatique 2019 à Casablanca,auto boutique,238 000 DH,Casablanca,Diesel,Automatique,8 CV,5 Images,"Voitures d'occasion, à vendre",Beauséjour,WW au Maroc,Excellent,Peugeot,508,2019,5,Oui,110 000 - 119 999,"['Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Caméra De Recul', 'Sièges Cuir', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Airbags', 'Climatisation', 'ESP', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Radar De Recul', 'ABS', 'Jantes Aluminium', 'Vitres Électriques']"
Mercedes-Benz Classe E Diesel Automatique 2016,Auto Mouti3,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Hay Al Farah,WW au Maroc,Excellent,Mercedes-Benz,Classe E,2016,5,Oui,50 000 - 54 999,"['Système De Navigation/GPS', 'Sièges Cuir', 'Climatisation', 'ESP', 'ABS', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Ordinateur De Bord', 'Airbags', 'Limiteur De Vitesse', 'Vitres Électriques']"
Porsche Macan Essence Automatique 2019,SIARACASH.MA,390 000 DH,Casablanca,Essence,Automatique,11 CV,9 Images,"Voitures d'occasion, à vendre",Hay Hassani,WW au Maroc,Très bon,Porsche,Macan,2019,5,Oui,120 000 - 129 999,"['Régulateur De Vitesse', 'ABS', 'Sièges Cuir', 'Ordinateur De Bord', 'Airbags', 'ESP', 'Radar De Recul', 'Système De Navigation/GPS', 'Climatisation', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Toit Ouvrant', 'Jantes Aluminium', 'Vitres Électriques', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance']"
Porsche Cayenne Hybride Automatique 2020 à Tanger,Adam Laraki,1 220 000 DH,Tanger,Hybride,Automatique,17 CV,6 Images,"Voitures d'occasion, à vendre",Iberie,Importée neuve,Excellent,Porsche,Cayenne,2020,5,Oui,60 000 - 64 999,"['Limiteur De Vitesse', 'Radar De Recul', 'CD/MP3/Bluetooth', 'ESP', 'Système De Navigation/GPS', 'ABS', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Caméra De Recul', 'Toit Ouvrant', 'Sièges Cuir', 'Airbags', 'Ordinateur De Bord', 'Climatisation', 'Régulateur De Vitesse', 'Jantes Aluminium']"
Volkswagen Jetta,Mohamed,PRIX NON SPÉCIFIÉ,Fès,Diesel,Manuelle,,8 Images,"Voitures d'occasion, à vendre",Agdal,,,Volkswagen,Jetta,2019,,Oui,100 000 - 109 999,[]
Audi Q3 Diesel Manuelle 2016 à Rabat,Auto prestige,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,8 CV,7 Images,"Voitures d'occasion, à vendre",Hay Nahda,Dédouanée,Excellent,Audi,Q3,2016,5,Oui,180 000 - 189 999,"['Limiteur De Vitesse', 'Vitres Électriques', 'Caméra De Recul', 'ABS', 'Climatisation', 'ESP', 'Sièges Cuir', 'Ordinateur De Bord', 'Toit Ouvrant', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Radar De Recul', 'Airbags', 'CD/MP3/Bluetooth']"
Ford C-Max Diesel Manuelle 2017 à Tanger,omar,155 000 DH,Tanger,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Val Fleuri,WW au Maroc,Excellent,Ford,C-Max,2017,5,Oui,100 000 - 109 999,"['ESP', 'CD/MP3/Bluetooth', 'Climatisation', 'Radar De Recul', 'ABS', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Système De Navigation/GPS', 'Airbags', 'Caméra De Recul', 'Régulateur De Vitesse']"
Logan prestige n9ia,youssef,127 000 DH,Casablanca,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Hay Mohammadi,WW au Maroc,Excellent,Dacia,Logan,2020,5,Non,40 000 - 44 999,[]
Fiat Doblo Maxi Diesel Manuelle 2021 à Tanger,VIP Auto Tanger,105 000 DH,Tanger,Diesel,Manuelle,6 CV,20 Images,"Voitures d'occasion, à vendre",Mozart,WW au Maroc,Très bon,Fiat,Doblo,2021,5,Oui,80 000 - 84 999,"['Airbags', 'CD/MP3/Bluetooth', 'ABS', 'Verrouillage Centralisé À Distance', 'Vitres Électriques']"
Octavia style automatique 2020,madame ghafir,168 000 DH,Casablanca,Diesel,Automatique,8 CV,6 Images,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Excellent,Skoda,Octavia,2021,,,0 - 4 999,"['Limiteur De Vitesse', 'Airbags', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'ABS', 'Jantes Aluminium', 'Caméra De Recul', 'Vitres Électriques', 'ESP', 'Régulateur De Vitesse', 'Radar De Recul', 'Ordinateur De Bord', 'Climatisation']"
Audi Q5 Diesel Automatique 2021 à Agadir,STARTUP CARS AGADIR,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Automatique,8 CV,14 Images,"Voitures d'occasion, à vendre",El Houda,WW au Maroc,Excellent,Audi,Q5,2021,5,Oui,40 000 - 44 999,"['Climatisation', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Airbags', 'Caméra De Recul', 'Système De Navigation/GPS', 'ESP', 'Sièges Cuir', 'Ordinateur De Bord', 'ABS', 'Vitres Électriques', 'Radar De Recul', 'CD/MP3/Bluetooth']"
Audi Q3 Diesel Automatique 2023 à Rabat,Auto Mouti3,64 DH,Rabat,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Hay Al Farah,Importée neuve,Excellent,Audi,Q3,2023,3,Oui,5 000 - 9 999,"['Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Vitres Électriques', 'Radar De Recul', 'Sièges Cuir', 'ABS', 'Climatisation', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'Airbags', 'Toit Ouvrant', 'ESP', 'Jantes Aluminium', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse']"
Citroën C6 Diesel 1 er main ✋,Auto Simo,84 000 DH,Casablanca,Diesel,Automatique,11 CV,12 Images,"Voitures d'occasion, à vendre",Sidi Maarouf,WW au Maroc,Excellent,Citroen,C6,2010,5,Oui,190 000 - 199 999,"['CD/MP3/Bluetooth', 'Vitres Électriques', 'Radar De Recul', 'Climatisation', 'ABS', 'Airbags', 'Ordinateur De Bord', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'ESP']"
Volkswagen Passat Diesel Automatique 2017 à Rabat,Auto prestige,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Hay Nahda,WW au Maroc,Excellent,Volkswagen,Passat,2017,5,Oui,100 000 - 109 999,"['Système De Navigation/GPS', 'Caméra De Recul', 'Vitres Électriques', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'ESP', 'Climatisation', 'Jantes Aluminium', 'ABS', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'Airbags']"
داصيا لوݣان مليحة جمي كسيدا موديل 2010,AUTO YAKOUB,PRIX NON SPÉCIFIÉ,Casablanca,Essence,Manuelle,8 CV,8 Images,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Excellent,Dacia,Logan,2010,5,Non,120 000 - 129 999,['Climatisation']
Volkswagen Tiguan Diesel Automatique 2014,Hajar Jijita,PRIX NON SPÉCIFIÉ,Mohammedia,Diesel,Automatique,8 CV,7 Images,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Volkswagen,Tiguan,2014,5,Non,160 000 - 169 999,[]
ford trasit,soufian,PRIX NON SPÉCIFIÉ,Tanger,,,,6 Images,"Camions, à vendre",Ben Dibane,,,,,,,,,[]
Alfa Romeo Giulietta Diesel Automatique 2013,Auto 212,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,6 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Alfa Romeo,Giulietta,2013,5,,160 000 - 169 999,"['ABS', 'Ordinateur De Bord', 'Jantes Aluminium', 'Radar De Recul', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Airbags', 'Vitres Électriques', 'Climatisation']"
Ford focus,Mohamed,PRIX NON SPÉCIFIÉ,Fès,Diesel,Manuelle,,8 Images,"Voitures d'occasion, à vendre",Agdal,,,Ford,Focus,2015,,,90 000 - 94 999,[]
Mercedes-Benz Classe GLC Coupé Diesel 2022,auto Ghali,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,9 CV,10 Images,"Voitures d'occasion, à vendre",Aïn Chock,Importée neuve,Excellent,Mercedes-Benz,CLASSE GLC COUPE,2022,5,Oui,25 000 - 29 999,"['CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'ABS', 'ESP', 'Radar De Recul', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Toit Ouvrant', 'Système De Navigation/GPS', 'Régulateur De Vitesse', 'Ordinateur De Bord', 'Caméra De Recul', 'Airbags', 'Vitres Électriques', 'Climatisation', 'Sièges Cuir']"
Dacia Sandero deisl 1min,jamal,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Dacia,Sandero,2014,5,Oui,70 000 - 74 999,"['Jantes Aluminium', 'Caméra De Recul', 'ABS', 'CD/MP3/Bluetooth', 'Sièges Cuir', 'Vitres Électriques', 'ESP', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Airbags', 'Radar De Recul', 'Climatisation', 'Toit Ouvrant', 'Régulateur De Vitesse', 'Limiteur De Vitesse']"
Land Rover Range Rover Sport Diesel Automatique,Supreme auto,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,9 Images,"Voitures d'occasion, à vendre",Aïn Chock,Importée neuve,Excellent,Land Rover,Range Rover Sport,2017,5,Oui,110 000 - 119 999,"['Caméra De Recul', 'ESP', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Jantes Aluminium', 'ABS', 'Toit Ouvrant', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Vitres Électriques', 'Système De Navigation/GPS', 'Radar De Recul', 'Climatisation', 'Airbags', 'Sièges Cuir', 'CD/MP3/Bluetooth']"
OPEL GRANDLAND X 1.5 DIESEL 6CV ENJOY TTES OPTIONS,AUTOMOBILES TINGIS,189 000 DH,Tanger,Diesel,Manuelle,6 CV,18 Images,"Voitures d'occasion, à vendre",Centre,WW au Maroc,Excellent,Opel,Grandland X,2021,5,Non,95 000 - 99 999,"['ESP', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Airbags', 'ABS', 'Caméra De Recul', 'Limiteur De Vitesse', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Climatisation']"
KIFAL - SKODA Octavia,KIFAL AUTO,195 000 DH,Rabat,Diesel,,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,,,Skoda,Octavia,2018,,,110 000 - 119 999,[]
dacia dokker neuve,Hollywood auto,PRIX NON SPÉCIFIÉ,Fès,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Dacia,Dokker,2019,5,Oui,75 000 - 79 999,"['Climatisation', 'Vitres Électriques', 'ABS', 'Caméra De Recul', 'Radar De Recul', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse']"
Mercedes Classe E 220 Pack Amg 2018,Annonceur,480 000 DH,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Aïn Chock,Importée neuve,Excellent,Mercedes-Benz,Classe E,2018,5,Oui,110 000 - 119 999,"['CD/MP3/Bluetooth', 'Vitres Électriques', 'Airbags', 'Radar De Recul', 'Climatisation', 'Limiteur De Vitesse', 'Sièges Cuir', 'Caméra De Recul', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Toit Ouvrant', 'ABS', 'ESP', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance']"
Jaguar XF Diesel Automatique 2014 à Casablanca,JML Development,190 000 DH,Casablanca,Diesel,Automatique,9 CV,5 Images,"Voitures d'occasion, à vendre",Aïn Diab,WW au Maroc,Très bon,Jaguar,XF,2014,5,Oui,150 000 - 159 999,"['CD/MP3/Bluetooth', 'Airbags', 'ESP', 'Ordinateur De Bord', 'Vitres Électriques', 'Radar De Recul', 'Sièges Cuir', 'Jantes Aluminium', 'ABS', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Climatisation']"
Abarth 595 Essence Automatique 2021 à Casablanca,Driss auto,195 000 DH,Casablanca,Essence,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Très bon,73,595,2021,3,Non,50 000 - 54 999,"['ESP', 'Jantes Aluminium', 'ABS', 'Sièges Cuir', 'Airbags', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Caméra De Recul', 'Limiteur De Vitesse', 'Toit Ouvrant', 'Climatisation', 'Ordinateur De Bord']"
Dacia Logan Diesel 2017 À Fès,auto oussama,93 000 DH,Fès,Diesel,Manuelle,6 CV,17 Images,"Voitures d'occasion, à vendre",Oued Fès,WW au Maroc,Très bon,Dacia,Logan,2017,,,130 000 - 139 999,"['CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Climatisation', 'Airbags', 'ABS', 'ESP', 'Régulateur De Vitesse']"
Audi RS3 Sportback Exclusive 2024,Luxury Motors Tanger,PRIX NON SPÉCIFIÉ,Tanger,Essence,Automatique,14 CV,20 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Neuf,Audi,RS3,2024,5,Oui,0 - 4 999,[]
Nissan Qashqai Diesel Manuelle 2016 à Casablanca,Hmizat auto moto,170 000 DH,Casablanca,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Excellent,Nissan,Qashqai,2016,5,Non,130 000 - 139 999,[]
Mercedes-Benz Classe A Diesel Automatique 2018,Auto Mouti3,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,6 CV,9 Images,"Voitures d'occasion, à vendre",Hay el Fath,Importée neuve,Excellent,Mercedes-Benz,Classe A,2018,5,Oui,100 000 - 109 999,"['ESP', 'ABS', 'Ordinateur De Bord', 'Toit Ouvrant', 'Limiteur De Vitesse', 'Airbags', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'Caméra De Recul', 'Radar De Recul', 'Sièges Cuir', 'Vitres Électriques', 'Climatisation']"
Touareg EXTREM faible kilométrage,Ayman Chafik,163 000 DH,Meknès,Diesel,Automatique,12 CV,8 Images,"Voitures d'occasion, à vendre",Hamria,WW au Maroc,Excellent,Volkswagen,Touareg,2012,5,Non,140 000 - 149 999,[]
Renault Kangoo Diesel Manuelle 2019 à Casablanca,Ziad,135 000 DH,Casablanca,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Renault,Kangoo,2019,5,,110 000 - 119 999,"['Jantes Aluminium', 'Ordinateur De Bord', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Airbags', 'ABS', 'Climatisation']"
Porsche 718 Boxster Essence Manuelle 2008,LEVING AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Essence,Manuelle,19 CV,10 Images,"Voitures d'occasion, à vendre",Val Fleuri,Importée neuve,Excellent,Porsche,718_boxster,2008,5,Oui,35 000 - 39 999,"['Verrouillage Centralisé À Distance', 'Toit Ouvrant', 'Sièges Cuir', 'Radar De Recul', 'ESP', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Climatisation', 'ABS', 'Airbags', 'Ordinateur De Bord', 'Caméra De Recul', 'Système De Navigation/GPS', 'Jantes Aluminium', 'Vitres Électriques']"
Mercedes-Benz Classe C Diesel Automatique 2016,TC,247 000 DH,Mohammedia,Diesel,Automatique,9 CV,8 Images,"Voitures d'occasion, à vendre",Corniche,WW au Maroc,Très bon,Mercedes-Benz,Classe C,2016,5,Non,160 000 - 169 999,"['ABS', 'Vitres Électriques', 'Sièges Cuir', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Jantes Aluminium', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'ESP', 'Airbags', 'Système De Navigation/GPS', 'Caméra De Recul', 'Radar De Recul', 'Climatisation']"
Jeep Renegade Diesel,TGV AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,6 CV,9 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Jeep,Renegade,2018,5,Non,80 000 - 84 999,"['Climatisation', 'Système De Navigation/GPS', 'Radar De Recul', 'ESP', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'ABS']"
Volvo S60 T4 Inscription Polestar Engineered,Hamza,320 000 DH,Casablanca,Essence,Automatique,11 CV,8 Images,"Voitures d'occasion, à vendre",Quartier des Hôpitaux,WW au Maroc,Excellent,Volvo,S60,2021,5,Non,40 000 - 44 999,[]
Mercedes-Benz Classe CLS Diesel Automatique 2018,Mr,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,10 Images,"Voitures d'occasion, à vendre",Maarif,Importée neuve,Très bon,Mercedes-Benz,Classe CLS,2018,5,Oui,95 000 - 99 999,[]
